uniqueid,birth_year,birth_month,birth_day,sex,enrollment_year,enrollment_month,enrollment_day
10000001,1997,2,16,Female,2012,6,18
10000002,1922,3,14,NA,2003,6,15
10000003,1955,4,11,Male,2018,2,26
10000004,1971,3,12,Female,2021,7,19
10000005,2015,4,7,NA,NA,NA,NA
10000006,2017,5,3,Male,NA,NA,NA
10000007,2014,6,9,Female,NA,NA,NA
10000008,1960,11,8,Male,1983,1,14
10000009,1925,4,24,Male,1948,7,14
10000010,1949,6,25,Male,1964,9,6
10000011,1989,2,11,Female,2014,6,17
10000012,1955,11,13,Male,1990,12,20
10000013,1979,3,26,Male,2016,1,6
10000014,1945,3,11,NA,2006,7,30
10000015,1935,8,18,Male,1955,4,5
10000016,1963,8,12,Male,1985,11,26
10000017,2004,4,21,Male,2020,6,23
10000018,1983,10,20,Male,2003,1,14
10000019,1977,3,30,Female,2003,1,16
10000020,1958,12,22,Male,1998,4,6
10000021,1982,6,11,Female,2017,7,30
10000022,1973,10,15,Male,2008,12,28
10000023,2010,3,24,Male,NA,NA,NA
10000024,1948,7,18,Male,1988,7,5
10000025,1945,10,28,Male,1966,1,25
10000026,2015,9,2,Female,NA,NA,NA
10000027,1945,11,13,Male,1985,11,12
10000028,2011,2,15,Male,NA,NA,NA
10000029,2012,2,19,Female,NA,NA,NA
10000030,1967,5,3,Male,2010,3,30
10000031,1951,4,24,Female,1989,7,29
10000032,2018,9,12,NA,NA,NA,NA
10000033,1974,12,29,Male,2023,9,13
10000034,1969,5,11,Female,2018,8,9
10000035,1932,6,8,Male,1960,10,7
10000036,1950,3,23,Female,2021,5,28
10000037,1985,8,7,Male,2006,9,8
10000038,1943,6,1,Female,1990,8,21
10000039,1943,5,21,Male,1987,12,22
10000040,1943,5,28,Female,1997,12,14
10000041,2019,5,5,Female,NA,NA,NA
10000042,1960,6,29,Male,2003,7,23
10000043,1933,11,10,Female,1985,1,28
10000044,1957,6,18,Male,2020,4,20
10000045,2016,1,13,NA,NA,NA,NA
10000046,1992,7,26,Female,2014,5,21
10000047,1956,9,12,Female,1974,5,7
10000048,1976,10,8,Female,1997,3,2
10000049,1940,11,18,Male,1962,10,23
10000050,1952,1,25,Female,1967,1,10
10000051,1965,5,24,Female,1981,10,25
10000052,2023,1,16,Female,NA,NA,NA
10000053,1967,11,12,Male,2022,12,20
10000054,1951,10,5,Male,2009,2,25
10000055,1970,6,19,Male,1990,3,3
10000056,1997,9,13,Male,2021,6,16
10000057,1953,7,1,Female,1997,1,14
10000058,2014,4,14,Male,NA,NA,NA
10000059,1960,8,12,Female,1989,6,27
10000060,1964,9,9,Female,2003,6,23
10000061,1922,8,1,Male,2013,10,16
10000062,2006,12,15,Male,2022,8,25
10000063,1980,6,8,Female,2011,6,7
10000064,1975,6,29,Female,2015,1,15
10000065,1977,5,28,NA,2010,3,5
10000066,2021,10,6,Female,NA,NA,NA
10000067,1989,5,9,NA,2020,11,23
10000068,1987,11,9,Male,2008,11,21
10000069,1935,1,4,Female,1990,1,9
10000070,1978,8,26,Female,2001,12,24
10000071,1997,2,8,Male,2019,9,5
10000072,2000,3,25,Male,2018,5,28
10000073,2007,9,2,Male,2022,3,18
10000074,1996,9,6,Male,2013,7,29
10000075,2021,11,18,Female,NA,NA,NA
10000076,1941,4,29,Female,2008,6,2
10000077,1939,12,27,Male,1980,3,29
10000078,1942,12,26,Female,1997,8,15
10000079,1959,9,25,Female,1984,3,11
10000080,1966,4,27,Female,2004,10,20
10000081,1981,3,16,Male,2002,10,20
10000082,1933,6,3,Male,2022,3,16
10000083,1994,6,21,Female,2014,5,25
10000084,1947,12,13,Female,1983,1,12
10000085,1930,1,23,Female,2005,3,16
10000086,1936,2,10,Female,1990,9,5
10000087,1920,2,11,Male,2008,10,7
10000088,1942,7,15,Female,1990,7,13
10000089,2022,10,1,Female,NA,NA,NA
10000090,2013,5,27,Male,NA,NA,NA
10000091,1967,7,20,Male,1982,9,22
10000092,1987,8,20,NA,2015,7,10
10000093,1922,11,3,Male,1953,4,20
10000094,1944,4,23,Female,2012,12,9
10000095,2020,8,9,Male,NA,NA,NA
10000096,1991,12,10,Female,2022,3,16
10000097,2014,3,4,Male,NA,NA,NA
10000098,2015,7,13,Male,NA,NA,NA
10000099,1971,7,18,Male,1991,2,23
10000100,1998,7,13,Female,2018,7,10
